PID,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemod/Add,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,Functional,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SalePrice
527451290,160,8,21.0,1680,2,0,4,2,4,1,1,3,3,3,Twnhs,4,6,5,1971,1971,2,2,7,0,2,232.0,3,2,3,3,0,5,387.0,0.0,96.0,483.0,2,3,1,1,504,0,987,0.0,0.0,1,1,2,1,1,0,6,1,1.0,264.0,3,3,0,0,0,0,0,0,0,0,0,0,7,2008,5,11.355113089309977
906380150,20,6,64.0,7488,2,0,1,2,4,1,1,6,3,3,1,1,7,5,2005,2005,2,2,15,0,0,0.0,3,3,4,3,2,6,393.0,0.0,815.0,1208.0,2,5,1,1,0,0,1208,0.0,0.0,2,0,2,1,1,0,2,2,2.0,632.0,3,3,105,58,0,0,0,0,0,0,0,0,2,2006,1,12.120520203776788
906226060,70,6,120.0,26400,2,0,4,3,4,4,1,24,2,3,1,4,5,7,1880,2007,2,2,7,0,0,0.0,3,3,0,0,0,0,0.0,0.0,0.0,0.0,2,5,1,1,728,0,2016,0.0,0.0,1,0,4,1,4,3,2,1,2.0,576.0,3,2,0,0,0,0,0,0,0,0,0,0,6,2009,1,11.782960235741939
533236070,160,3,24.0,2645,2,2,4,2,4,1,1,25,3,3,Twnhs,4,8,5,1999,2000,2,2,9,Pave,2,456.0,3,3,4,3,0,6,813.0,0.0,147.0,960.0,2,5,1,1,645,0,1607,1.0,0.0,2,1,3,1,1,0,6,1,2.0,480.0,3,3,169,0,0,0,0,0,0,0,0,0,12,2008,9,12.206077645517674
907418040,20,6,74.0,9627,2,0,4,2,4,1,1,6,3,3,1,1,7,5,2007,2007,2,2,15,0,0,0.0,3,3,4,3,2,6,24.0,0.0,1327.0,1351.0,2,5,1,1,0,0,1361,0.0,0.0,2,0,3,1,1,0,2,2,2.0,610.0,3,3,0,50,0,0,0,0,0,0,0,0,6,2008,1,12.170450649220749
923202105,20,6,93.0,10114,2,0,4,2,4,1,1,15,3,3,1,1,5,5,2004,2005,2,2,15,0,0,0.0,3,3,5,3,2,1,0.0,0.0,1430.0,1430.0,2,5,1,1,0,0,1430,0.0,0.0,2,0,3,1,1,0,2,2,2.0,624.0,3,3,0,0,0,0,0,0,0,0,0,0,3,2010,1,12.063938642041201
902301140,70,8,34.0,4571,2,1,4,2,4,1,1,21,3,3,1,4,5,5,1916,1950,2,2,1,Grvl,0,0.0,3,1,3,3,0,1,0.0,0.0,624.0,624.0,2,2,0,1,720,0,1344,0.0,0.0,1,0,4,1,1,0,6,1,3.0,513.0,2,3,0,0,96,0,0,0,0,0,0,0,5,2008,5,11.49273296168228
905101490,20,6,80.0,8816,2,0,4,2,4,2,1,23,2,3,1,1,5,6,1963,1963,2,2,15,0,0,0.0,3,3,3,3,0,3,651.0,0.0,470.0,1121.0,2,3,1,1,0,0,1121,1.0,0.0,1,0,3,1,1,0,6,1,2.0,480.0,3,3,0,80,0,0,0,0,0,3,0,0,6,2009,1,11.842236406331555
905107140,20,6,71.0,8197,2,0,4,2,4,1,1,23,3,3,1,1,6,5,1977,1977,2,2,11,0,2,148.0,3,2,3,3,0,1,0.0,0.0,660.0,660.0,2,5,1,1,0,0,1285,0.0,0.0,1,1,3,1,1,3,2,2,2.0,528.0,3,3,138,0,0,0,0,0,0,3,0,0,4,2007,1,11.874097282798648
528458070,60,3,72.0,8640,2,0,4,2,4,1,1,25,3,3,1,4,7,5,2009,2009,2,2,15,0,0,0.0,3,3,4,3,1,6,24.0,0.0,732.0,756.0,2,5,1,1,783,0,1547,0.0,0.0,2,1,3,1,1,0,2,1,2.0,614.0,3,3,169,45,0,0,0,0,0,0,0,0,6,2010,6,12.279327754099118
905106150,20,6,109.0,8724,2,0,4,2,4,1,1,23,3,3,1,1,5,5,1968,1968,2,2,15,0,0,0.0,3,2,4,3,0,4,492.0,0.0,402.0,894.0,2,4,1,1,0,0,894,0.0,0.0,1,0,3,1,1,1,2,3,2.0,450.0,3,3,0,0,0,0,0,0,0,0,0,0,5,2007,1,11.767575435251748
527131030,120,6,40.0,5664,2,0,1,2,4,1,1,26,3,3,4,1,8,5,2000,2000,2,2,6,0,0,0.0,3,3,4,3,0,6,1158.0,0.0,343.0,1501.0,2,5,1,1,0,0,1659,1.0,0.0,2,0,2,1,1,5,2,3,2.0,499.0,3,3,212,59,0,0,0,0,0,0,0,0,10,2009,1,12.535379989788607
528142010,60,6,103.0,12867,2,0,1,2,4,2,1,19,3,3,1,4,8,5,2005,2006,2,2,6,0,0,0.0,3,3,5,3,2,1,0.0,0.0,1209.0,1209.0,2,5,1,1,1044,0,2253,0.0,0.0,2,1,3,1,1,4,2,3,2.0,575.0,3,3,243,142,0,0,0,0,0,0,0,0,7,2006,4,12.74878639539024
527165230,20,6,0.0,7980,2,0,1,2,4,1,1,9,3,3,1,1,6,7,1992,2007,2,2,7,0,0,0.0,4,3,4,3,0,5,935.0,0.0,233.0,1168.0,2,5,1,1,0,0,1187,1.0,0.0,2,0,3,1,1,0,2,3,2.0,420.0,3,3,483,21,0,0,0,0,0,4,4,500,3,2010,1,12.128116509451258
527250040,190,6,100.0,34650,2,0,4,3,4,1,1,9,3,3,2fmCon,1,5,5,1955,1955,4,2,16,0,0,0.0,3,2,3,3,1,3,1056.0,0.0,0.0,1056.0,2,3,0,1,0,0,1056,1.0,0.0,1,0,3,1,1,0,2,3,2.0,572.0,3,3,264,0,0,0,0,0,0,0,0,0,1,2006,1,11.884495917930655
535104120,20,6,92.0,10573,2,0,1,2,4,2,1,20,3,3,1,1,6,6,1961,1961,4,2,9,0,2,3.0,3,2,3,3,0,3,1312.0,0.0,141.0,1453.0,2,5,1,1,0,0,1453,1.0,0.0,2,0,3,1,1,3,2,2,2.0,530.0,3,3,0,49,0,0,288,0,0,4,0,0,4,2009,1,12.141539457711714
532376160,20,6,65.0,8450,2,0,4,2,4,1,1,23,9,3,1,1,5,8,1965,2009,2,2,9,0,0,0.0,4,2,3,3,0,6,553.0,117.0,224.0,894.0,2,5,1,1,0,0,894,1.0,0.0,1,0,3,1,1,4,6,1,1.0,336.0,3,3,416,144,0,0,0,0,0,3,0,0,4,2010,1,11.83863282480007
909277040,50,6,0.0,11700,2,1,1,4,4,1,2,7,3,3,1,2,5,6,1937,1995,2,2,17,Grvl,0,0.0,3,2,3,3,0,4,606.0,0.0,336.0,942.0,2,5,1,1,673,0,1938,0.0,0.0,2,0,4,1,3,4,6,1,1.0,240.0,3,3,0,40,0,0,0,0,0,0,0,0,7,2008,1,12.19602736016897
911103060,190,C (all),75.0,8250,2,0,4,2,4,1,1,12,2,3,2fmCon,4,5,6,1895,2006,2,2,15,0,0,0.0,4,2,3,3,0,1,0.0,0.0,957.0,957.0,2,2,0,1,957,0,1991,0.0,0.0,2,0,4,2,1,0,0,0,0.0,0.0,0,1,0,0,133,0,0,0,0,0,0,0,6,2007,1,11.691916481667727
535450190,50,6,60.0,8064,2,0,4,2,4,2,1,20,1,3,1,2,5,7,1949,2006,2,2,9,0,0,0.0,4,2,3,3,1,1,0.0,0.0,672.0,672.0,2,5,1,1,252,0,924,0.0,0.0,1,0,3,1,1,1,6,1,2.0,576.0,3,3,0,0,0,0,0,0,0,3,4,2000,7,2007,1,11.719134432217524
527355150,20,6,80.0,9600,2,0,4,2,4,1,1,NWAmes,6,3,1,1,8,5,1981,1981,4,8,4,0,0,0.0,3,3,4,3,0,5,1104.0,0.0,1420.0,2524.0,2,3,1,1,0,0,2524,1.0,0.0,2,1,4,1,1,4,2,3,2.0,542.0,3,3,474,120,0,0,0,0,0,3,0,0,7,2009,1,12.535379989788607
909276010,70,6,0.0,11435,2,0,1,4,4,2,2,7,3,3,1,4,8,7,1929,1950,2,2,4,0,0,0.0,3,3,4,3,0,1,0.0,0.0,792.0,792.0,2,2,1,1,725,0,1517,0.0,0.0,1,0,3,1,1,4,6,1,2.0,400.0,3,3,0,0,0,0,0,0,0,0,0,0,6,2006,1,12.345838935721968
533250130,120,6,30.0,9549,2,0,1,2,4,3,1,28,3,3,4,1,8,5,1995,1996,4,2,4,0,0,0.0,4,3,4,4,2,2,437.0,1057.0,0.0,1494.0,2,5,1,1,0,0,1494,1.0,0.0,1,1,2,1,1,4,2,3,2.0,481.0,3,3,0,30,0,0,216,0,0,0,0,0,4,2006,1,12.506180941677357
535302070,20,6,60.0,10950,2,0,4,2,4,1,1,20,3,3,1,1,6,6,1952,1952,4,2,16,0,0,0.0,3,2,3,3,0,5,441.0,0.0,507.0,948.0,2,3,1,1,0,0,948,0.0,0.0,1,0,2,1,1,0,6,1,2.0,410.0,3,1,0,48,0,0,0,0,0,0,0,0,4,2007,1,11.736077016252437
906340110,20,6,79.0,10637,2,0,4,2,4,1,1,6,3,3,1,1,8,5,2007,2008,4,2,15,0,4,336.0,3,3,5,3,3,6,1288.0,0.0,417.0,1705.0,2,5,1,1,0,0,1718,1.0,0.0,2,0,3,1,1,4,2,2,3.0,826.0,3,3,208,44,0,0,0,0,0,0,0,0,9,2009,1,12.601490784782536
535426150,20,6,80.0,9000,2,0,1,4,4,1,2,20,3,3,1,1,6,6,1958,1958,1,6,16,0,2,82.0,3,2,4,3,3,1,0.0,0.0,160.0,160.0,2,2,1,1,0,0,1142,0.0,0.0,1,0,2,1,1,4,3,2,1.0,384.0,3,3,0,28,64,0,0,0,0,0,0,0,4,2009,1,11.63956692643747
923225240,160,8,41.0,2665,2,0,4,2,4,1,1,14,3,3,4,4,5,6,1977,1977,2,2,6,0,0,0.0,3,3,3,3,0,5,548.0,173.0,36.0,757.0,2,5,1,1,550,0,1475,0.0,0.0,2,0,4,1,1,3,2,2,1.0,336.0,3,3,104,26,0,0,0,0,0,0,0,0,7,2006,1,11.751950239425476
527358140,20,6,105.0,11751,2,0,1,2,4,1,1,NWAmes,3,3,1,1,6,6,1977,1977,4,2,11,0,2,480.0,3,2,4,3,0,4,705.0,0.0,1139.0,1844.0,2,5,1,1,0,0,1844,0.0,0.0,2,0,3,1,1,3,2,2,2.0,546.0,3,3,0,122,0,0,0,0,0,3,0,0,1,2010,5,12.154784614286667
534177210,20,6,80.0,9600,2,0,4,2,4,1,1,NWAmes,3,3,1,1,7,6,1973,1973,4,2,7,0,2,320.0,3,2,3,3,0,5,916.0,0.0,326.0,1242.0,2,2,1,1,0,0,1242,0.0,0.0,1,1,3,1,1,3,2,1,2.0,528.0,3,3,0,0,0,0,0,0,0,0,0,0,9,2007,1,12.075400019877522
907135050,20,6,60.0,8428,2,0,2,2,4,1,1,6,3,3,1,1,5,7,1994,1994,2,2,15,0,0,0.0,4,3,4,4,0,6,420.0,0.0,570.0,990.0,2,5,1,1,0,0,990,1.0,0.0,1,0,3,1,1,0,6,1,1.0,384.0,3,3,256,0,0,0,0,0,0,0,0,0,7,2007,1,11.891368749982085
908102260,20,6,75.0,9937,2,0,4,2,4,1,1,8,3,3,1,1,5,6,1965,1965,2,2,7,0,0,0.0,3,2,3,3,0,4,830.0,290.0,136.0,1256.0,2,4,1,1,0,0,1256,1.0,0.0,1,1,3,1,1,0,2,3,1.0,276.0,3,3,736,68,0,0,0,0,0,0,0,0,6,2008,1,11.901590234400047
528110050,20,6,107.0,13891,2,0,4,2,4,1,1,19,3,3,1,1,10,5,2006,2006,2,2,15,0,0,0.0,3,3,5,4,3,6,1386.0,0.0,690.0,2076.0,2,5,1,1,0,0,2076,1.0,0.0,2,1,2,1,1,4,2,3,3.0,850.0,3,3,216,229,0,0,0,0,0,0,0,0,9,2006,4,13.049794835104816
923275040,85,6,0.0,9101,2,0,1,2,4,2,1,15,3,3,1,7,5,6,1978,1978,2,2,11,0,2,104.0,4,3,4,3,2,6,1097.0,0.0,0.0,1097.0,2,5,1,1,0,0,1110,1.0,0.0,1,0,1,1,1,3,2,3,2.0,602.0,3,3,303,30,0,0,0,0,0,0,0,0,7,2009,1,12.016732516077072
902406090,50,8,81.0,12150,2,1,4,2,4,1,1,21,3,3,1,2,5,5,1954,1954,2,2,9,Grvl,2,335.0,3,1,3,3,0,1,0.0,0.0,1050.0,1050.0,2,5,0,3,745,0,1795,0.0,0.0,2,0,4,1,1,0,2,1,1.0,352.0,2,3,0,0,0,0,0,0,0,0,0,0,11,2008,1,11.78676973513378
905102170,20,6,70.0,11200,2,0,4,2,4,1,1,23,3,3,1,1,5,5,1965,1965,4,2,7,0,0,0.0,3,2,3,3,0,3,906.0,0.0,134.0,1040.0,2,5,1,1,0,0,1040,1.0,0.0,1,0,3,1,1,0,6,1,1.0,384.0,3,3,0,0,0,0,0,0,0,0,0,0,2,2008,1,11.771443882099637
909281110,70,6,100.0,9670,2,0,1,4,4,1,2,7,3,3,1,4,8,6,1935,1950,2,2,4,0,4,40.0,3,3,3,2,0,2,210.0,0.0,398.0,608.0,2,3,1,1,890,0,1873,0.0,0.0,1,1,4,1,1,4,6,3,2.0,786.0,2,3,0,0,207,0,0,0,0,0,0,0,6,2008,1,12.457130929897918
909101140,50,6,60.0,10998,2,1,4,2,4,1,1,8,3,3,1,2,5,5,1941,1960,2,2,16,Grvl,0,0.0,3,2,3,3,0,2,408.0,420.0,156.0,984.0,2,5,1,1,620,0,1604,0.0,0.0,2,0,3,1,3,0,6,1,2.0,660.0,3,3,0,68,0,0,0,0,0,0,0,0,7,2009,1,11.669937760751914
909275050,70,6,60.0,7200,2,0,4,4,4,1,2,7,3,3,1,4,7,6,1931,2000,2,2,14,0,0,0.0,2,1,4,3,0,1,0.0,0.0,776.0,776.0,2,3,1,1,651,0,1502,0.0,0.0,1,1,3,1,1,4,2,2,1.0,270.0,3,2,0,0,112,0,0,0,0,3,0,0,2,2008,1,11.91170829631447
534475100,20,6,80.0,9920,2,0,4,2,4,1,1,20,3,3,1,1,5,5,1954,1954,2,2,7,0,4,110.0,3,2,3,3,0,3,354.0,290.0,412.0,1056.0,2,3,1,1,0,0,1063,1.0,0.0,1,0,3,1,1,0,2,2,1.0,280.0,3,3,0,0,164,0,0,0,0,3,0,0,2,2010,1,11.759793355371237
528188090,160,6,36.0,2448,2,0,4,2,4,1,1,19,3,3,Twnhs,4,7,5,2003,2004,2,2,15,0,4,106.0,3,3,4,3,0,1,0.0,0.0,764.0,764.0,2,5,1,1,862,0,1626,0.0,0.0,2,1,2,1,1,0,4,2,2.0,474.0,3,3,0,27,0,0,0,0,0,0,0,0,10,2008,1,11.951186847493476
533221080,160,3,0.0,2998,2,0,4,2,4,1,1,25,3,3,4,4,6,5,2000,2000,2,2,9,0,2,513.0,3,3,4,3,0,6,353.0,0.0,403.0,756.0,2,5,1,1,756,0,1524,0.0,0.0,2,1,2,1,1,0,6,1,2.0,440.0,3,3,0,32,0,0,0,0,0,0,0,0,6,2006,1,12.019749091416921
909250220,50,6,65.0,7804,2,0,4,2,4,1,1,22,3,3,1,2,4,3,1928,1950,2,2,17,0,0,0.0,3,1,3,3,0,4,622.0,0.0,500.0,1122.0,2,3,1,1,653,0,1981,1.0,0.0,2,0,4,1,3,3,6,1,2.0,576.0,3,3,431,44,0,0,0,0,0,3,0,0,12,2009,1,11.813037464800539
527356020,60,6,80.0,16692,2,0,1,2,4,1,1,NWAmes,5,3,1,4,7,5,1978,1978,2,2,11,0,2,184.0,3,2,4,3,0,4,790.0,469.0,133.0,1392.0,2,3,1,1,1392,0,2784,1.0,0.0,3,1,5,1,1,3,2,2,2.0,564.0,3,3,0,112,0,0,440,519,Fa,3,5,2000,7,2006,1,12.429220196836383
923226250,160,8,21.0,1476,2,0,4,2,4,1,1,14,3,3,Twnhs,4,4,7,1970,1970,2,2,6,0,0,0.0,3,2,3,3,0,6,176.0,0.0,370.0,546.0,2,5,1,1,546,0,1092,0.0,0.0,1,1,3,1,1,0,0,0,0.0,0.0,0,3,200,26,0,0,0,0,0,0,0,0,3,2010,1,11.23850177707664
535305120,20,6,75.0,10170,2,0,4,2,4,2,1,20,3,3,1,1,6,6,1951,1951,4,2,16,0,2,522.0,3,2,3,3,0,1,0.0,0.0,216.0,216.0,2,3,1,1,0,0,1575,0.0,0.0,1,1,2,1,1,4,2,1,2.0,400.0,3,3,0,0,0,0,0,0,0,0,0,0,6,2006,1,11.951186847493476
905106140,60,6,80.0,9364,2,0,4,2,4,2,1,23,3,3,1,4,6,7,1969,1969,2,2,7,0,4,143.0,3,2,3,3,0,5,371.0,0.0,292.0,663.0,2,3,1,1,689,0,1352,0.0,0.0,1,1,4,1,1,0,2,3,1.0,299.0,3,3,379,36,0,0,0,0,0,3,0,0,3,2010,1,11.970356641102999
533212020,160,3,24.0,2544,2,2,4,2,4,1,1,25,3,3,Twnhs,4,7,5,2004,2005,2,2,9,Pave,0,0.0,3,3,4,3,0,6,368.0,42.0,190.0,600.0,2,5,1,1,600,0,1200,1.0,0.0,2,1,2,1,1,0,6,2,2.0,480.0,3,3,0,172,0,0,0,0,0,0,0,0,2,2010,1,11.915058360753719
534479300,20,6,82.0,9888,2,0,4,2,4,1,1,20,3,3,1,1,5,6,1954,1975,2,2,9,0,0,0.0,4,2,3,3,0,4,486.0,0.0,450.0,936.0,2,3,1,2,0,0,936,0.0,0.0,1,0,2,1,1,0,2,1,1.0,240.0,3,3,0,0,160,0,0,0,0,3,0,0,3,2006,1,11.703554089007538
535304170,20,6,68.0,7942,2,0,4,2,4,1,1,20,3,3,1,1,6,7,1953,1953,4,2,16,0,0,0.0,3,2,3,3,0,3,85.0,955.0,0.0,1040.0,2,3,1,3,0,0,1040,0.0,1.0,1,0,3,1,1,0,2,3,1.0,293.0,3,3,0,0,0,0,0,0,0,3,0,0,6,2007,1,11.820417517632333
527107010,60,6,0.0,15038,2,0,2,2,4,2,1,9,3,3,1,4,6,5,1996,1996,2,2,7,0,0,0.0,3,3,4,3,0,3,138.0,0.0,778.0,916.0,2,4,1,1,720,0,1636,0.0,0.0,2,1,3,1,1,3,2,3,2.0,386.0,3,3,168,84,0,0,0,0,0,0,0,0,11,2008,1,12.06105265381003
528382020,60,6,92.0,11764,2,0,1,2,4,3,1,17,3,3,1,4,8,7,1999,2007,2,2,15,0,2,348.0,3,3,4,3,0,6,524.0,0.0,628.0,1152.0,2,5,1,1,1106,0,2270,0.0,0.0,2,1,4,1,1,4,2,3,3.0,671.0,3,3,132,57,0,0,0,0,0,0,0,0,4,2010,1,12.577639650232573
528458130,60,3,75.0,9000,2,0,4,2,4,1,1,25,3,3,1,4,8,5,2007,2007,2,2,6,0,0,0.0,3,3,4,3,2,6,64.0,0.0,1120.0,1184.0,2,5,1,1,1426,0,2610,0.0,0.0,2,1,4,1,1,4,4,3,2.0,550.0,3,3,208,364,0,0,0,0,0,0,0,0,8,2007,4,12.623064399210183
905109170,20,6,0.0,20062,2,0,1,1,4,1,2,5,3,3,1,1,7,7,1977,2001,4,2,16,0,0,0.0,4,2,4,3,3,5,1092.0,0.0,328.0,1420.0,2,4,1,1,0,0,1483,1.0,0.0,1,1,1,1,1,3,2,2,2.0,690.0,3,3,496,0,0,0,0,0,0,0,0,0,4,2010,1,12.506180941677357
902109160,50,8,81.0,7308,2,0,4,2,4,2,1,21,1,3,1,2,5,5,1920,1950,2,2,17,0,0,0.0,2,1,3,3,0,3,360.0,0.0,576.0,936.0,2,4,0,2,780,0,1740,0.0,0.0,1,0,2,1,1,4,6,1,1.0,225.0,2,1,0,0,236,0,0,0,0,0,0,0,6,2008,1,11.713831587262764
535178120,20,6,70.0,8750,2,0,4,2,4,1,1,20,3,3,1,1,5,5,1955,1955,2,2,1,0,0,0.0,3,2,3,3,0,3,172.0,483.0,727.0,1382.0,2,4,1,2,0,0,1382,0.0,1.0,1,0,3,1,1,0,2,1,1.0,350.0,3,3,280,0,0,0,0,0,0,2,0,0,7,2009,1,11.938199736300925
923202134,20,6,70.0,8402,2,0,4,2,4,1,1,15,2,3,1,1,5,5,2007,2007,2,2,15,0,0,0.0,3,3,4,3,0,5,206.0,0.0,914.0,1120.0,2,5,1,1,0,0,1120,0.0,0.0,1,0,3,1,1,0,0,0,0.0,0.0,0,3,0,30,0,0,0,0,0,0,0,0,12,2007,4,11.898194668458823
909252150,70,6,63.0,4000,2,0,4,2,4,1,1,7,3,3,1,4,7,8,1930,1995,2,2,16,0,0,0.0,3,1,4,3,0,6,246.0,0.0,285.0,531.0,2,3,1,1,531,0,1098,1.0,0.0,1,0,2,1,1,4,6,1,1.0,216.0,3,3,0,0,0,0,0,0,0,3,0,0,6,2007,1,11.908346971208951
908188150,160,8,32.0,3363,2,0,4,2,4,1,1,8,3,3,4,4,7,5,2004,2004,2,2,15,0,4,117.0,3,3,4,3,0,1,0.0,0.0,976.0,976.0,2,5,1,1,732,0,1708,0.0,0.0,2,0,3,1,5,0,6,1,2.0,380.0,3,3,0,40,0,0,0,0,0,0,0,0,4,2006,1,11.775297421715827
528150040,20,6,94.0,13615,2,0,1,4,4,2,2,19,3,3,1,1,9,5,2006,2006,4,2,9,0,4,510.0,3,3,5,3,3,1,0.0,0.0,1802.0,1802.0,2,5,1,1,0,0,1802,0.0,0.0,2,1,3,1,1,4,2,3,3.0,843.0,3,3,158,105,0,0,0,0,0,0,0,0,6,2007,1,12.826651821423713
528228565,120,6,43.0,3013,2,0,4,2,4,1,1,1,3,3,4,1,7,5,2005,2005,2,2,15,0,2,145.0,3,3,4,3,3,6,16.0,0.0,1346.0,1362.0,2,5,1,1,0,0,1506,0.0,0.0,2,0,2,1,1,4,2,3,2.0,440.0,3,3,142,20,0,0,0,0,0,0,0,0,4,2006,1,12.271349956195543
905453080,20,6,44.0,17485,2,0,2,2,4,1,1,8,3,3,1,1,7,5,2009,2010,2,2,15,0,4,96.0,3,3,4,3,3,6,1346.0,0.0,162.0,1508.0,2,5,1,1,0,0,1508,1.0,0.0,1,0,1,1,1,3,2,2,2.0,572.0,3,3,0,0,0,0,0,0,0,0,0,0,1,2010,6,12.637955706241554
914453045,20,6,0.0,23730,2,0,2,2,4,1,1,15,3,3,1,1,7,5,1996,1997,2,2,9,0,2,668.0,3,3,5,3,1,6,700.0,0.0,1140.0,1840.0,2,5,1,1,0,0,2032,1.0,0.0,3,0,3,1,1,0,2,3,3.0,786.0,3,3,0,46,192,0,0,0,0,0,0,0,9,2008,1,12.611541086966115
